('2015-07-05', 'USD_CHF')
('2015-07-06', 'USD_JPY')
('2015-07-07', 'USD_CHF')
('2015-07-08', 'GBP_USD')
('2015-07-09', 'AUD_USD')
('2015-07-13', 'EUR_USD')
('2015-07-14', 'GBP_USD')
('2015-07-16', 'USD_CAD')
('2015-07-19', 'EUR_USD')
('2015-07-20', 'GBP_USD')
('2015-07-21', 'USD_CHF')
('2015-07-22', 'USD_JPY')
('2015-07-26', 'AUD_USD')
('2015-07-27', 'USD_CHF')
('2015-07-28', 'GBP_USD')
('2015-07-29', 'GBP_USD')
('2015-07-30', 'AUD_USD')
('2015-08-02', 'USD_JPY')
('2015-08-04', 'EUR_USD')
('2015-08-05', 'AUD_USD')
('2015-08-06', 'GBP_USD')
('2015-08-09', 'USD_CHF')
('2015-08-10', 'GBP_USD')
('2015-08-12', 'USD_CHF')
('2015-08-13', 'USD_CHF')
('2015-08-16', 'USD_CAD')
('2015-08-17', 'USD_JPY')
('2015-08-19', 'AUD_USD')
('2015-08-20', 'GBP_USD')
('2015-08-25', 'AUD_USD')
('2015-08-27', 'USD_CAD')
('2015-09-01', 'USD_CAD')
('2015-09-03', 'USD_CHF')
('2015-09-06', 'USD_JPY')
('2015-09-10', 'GBP_USD')
('2015-09-13', 'USD_CHF')
('2015-09-14', 'AUD_USD')
('2015-09-16', 'AUD_USD')
('2015-09-17', 'AUD_USD')
('2015-09-20', 'GBP_USD')
('2015-09-23', 'USD_CAD')
('2015-09-24', 'USD_CHF')
('2015-09-28', 'GBP_USD')
('2015-09-29', 'AUD_USD')
('2015-09-30', 'GBP_USD')
('2015-10-01', 'EUR_USD')
('2015-10-12', 'USD_CAD')
('2015-10-14', 'GBP_USD')
('2015-10-21', 'AUD_USD')
('2015-10-22', 'AUD_USD')
('2015-10-29', 'AUD_USD')
('2015-10-30', 'EUR_USD')
('2015-11-02', 'EUR_USD')
('2015-11-03', 'GBP_USD')
('2015-11-05', 'USD_CAD')
('2015-11-10', 'USD_CAD')
('2015-11-12', 'GBP_USD')
('2015-11-13', 'USD_JPY')
('2015-11-16', 'USD_CAD')
('2015-11-18', 'USD_JPY')
('2015-11-23', 'USD_CAD')
('2015-11-24', 'EUR_USD')
('2015-11-25', 'USD_CAD')
('2015-11-26', 'USD_CAD')
('2015-12-01', 'USD_CAD')
('2015-12-02', 'USD_CAD')
('2015-12-03', 'USD_CAD')
('2015-12-04', 'USD_CAD')
('2015-12-09', 'USD_CAD')
('2015-12-10', 'USD_JPY')
('2015-12-14', 'EUR_USD')
('2015-12-15', 'USD_CAD')
('2015-12-16', 'AUD_USD')
('2015-12-17', 'USD_JPY')
('2015-12-21', 'USD_CHF')
('2015-12-23', 'AUD_USD')
('2015-12-24', 'USD_CAD')
('2015-12-30', 'GBP_USD')
('2015-12-31', 'AUD_USD')
('2016-01-04', 'EUR_USD')
('2016-01-06', 'USD_CHF')
('2016-01-12', 'EUR_USD')
('2016-01-14', 'USD_CHF')
('2016-01-19', 'USD_CAD')
('2016-01-21', 'USD_CHF')
('2016-01-25', 'GBP_USD')
('2016-01-26', 'USD_JPY')
('2016-01-27', 'AUD_USD')
('2016-01-28', 'USD_CHF')
('2016-01-29', 'AUD_USD')
('2016-02-01', 'USD_CAD')
('2016-02-02', 'USD_CHF')
('2016-02-04', 'GBP_USD')
('2016-02-05', 'USD_JPY')
('2016-02-08', 'AUD_USD')
('2016-02-10', 'USD_CHF')
('2016-02-11', 'USD_CAD')
('2016-02-16', 'USD_JPY')
('2016-02-17', 'USD_JPY')
('2016-02-18', 'USD_CHF')
('2016-02-23', 'EUR_USD')
('2016-02-24', 'AUD_USD')
('2016-02-25', 'USD_CHF')
('2016-02-29', 'USD_CHF')
('2016-03-02', 'USD_CAD')
('2016-03-04', 'USD_CHF')
('2016-03-07', 'USD_CHF')
('2016-03-09', 'USD_CHF')
('2016-03-10', 'AUD_USD')
('2016-03-14', 'USD_JPY')
('2016-03-15', 'USD_CHF')
('2016-03-18', 'GBP_USD')
('2016-03-21', 'USD_CHF')
('2016-03-22', 'USD_JPY')
('2016-03-24', 'GBP_USD')
('2016-03-27', 'USD_JPY')
('2016-03-30', 'AUD_USD')
('2016-03-31', 'USD_CAD')
('2016-04-03', 'USD_CHF')
('2016-04-05', 'USD_CHF')
('2016-04-06', 'USD_CHF')
('2016-04-10', 'EUR_USD')
('2016-04-11', 'USD_CHF')
('2016-04-13', 'USD_CHF')
('2016-04-19', 'AUD_USD')
('2016-04-24', 'AUD_USD')
('2016-04-25', 'USD_JPY')
('2016-04-28', 'GBP_USD')
('2016-05-03', 'EUR_USD')
('2016-05-04', 'AUD_USD')
('2016-05-05', 'EUR_USD')
('2016-05-08', 'GBP_USD')
('2016-05-10', 'AUD_USD')
('2016-05-11', 'GBP_USD')
('2016-05-15', 'EUR_USD')
('2016-05-16', 'EUR_USD')
('2016-05-18', 'GBP_USD')
('2016-05-19', 'AUD_USD')
('2016-05-22', 'GBP_USD')
('2016-05-23', 'USD_CAD')
('2016-05-24', 'AUD_USD')
('2016-05-29', 'USD_CAD')
('2016-05-31', 'USD_CAD')
('2016-06-05', 'EUR_USD')
('2016-06-06', 'EUR_USD')
('2016-06-08', 'USD_JPY')
('2016-06-09', 'USD_JPY')
('2016-06-12', 'GBP_USD')
('2016-06-13', 'USD_CHF')
('2016-06-14', 'USD_JPY')
('2016-06-20', 'GBP_USD')
('2016-06-21', 'USD_JPY')
('2016-06-29', 'USD_CAD')
('2016-07-03', 'GBP_USD')
('2016-07-07', 'EUR_USD')
('2016-07-10', 'USD_CHF')
('2016-07-17', 'USD_CAD')
('2016-07-18', 'USD_JPY')
('2016-07-20', 'GBP_USD')
('2016-07-25', 'EUR_USD')
('2016-07-26', 'USD_CAD')
('2016-07-31', 'USD_JPY')
('2016-08-02', 'GBP_USD')
